Hotel,Hotel Latitude,Hotel Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Hôtel Arès Tour Eiffel,48.85046121844445,2.298211474033437,3,French Restaurant,Bakery,Supermarket,Korean Restaurant,Creperie,Pizza Place,Bar,Brasserie,Thai Restaurant,Bike Rental / Bike Share
The Peninsula Paris,48.870650060734555,2.293524742126465,0,French Restaurant,Steakhouse,Vegetarian / Vegan Restaurant,Roof Deck,Bakery,Molecular Gastronomy Restaurant,Farmers Market,Fast Food Restaurant,Falafel Restaurant,Electronics Store
Hôtel Pullman Paris Centre - Bercy,48.83136833545511,2.38691121339798,3,Italian Restaurant,Cosmetics Shop,Breakfast Spot,Supermarket,Big Box Store,Food & Drink Shop,Flea Market,Shopping Plaza,Burger Joint,Miscellaneous Shop
Hôtel Caron de Beaumarchais,48.856448284087755,2.356729471431492,3,French Restaurant,Clothing Store,Falafel Restaurant,Pastry Shop,Wine Bar,Plaza,Italian Restaurant,Ice Cream Shop,Bistro,Furniture / Home Store
Hôtel Renaissance Paris Vendôme,48.865477885897896,2.3295977711677547,1,French Restaurant,Japanese Restaurant,Jewelry Store,Chocolate Shop,Dessert Shop,Hotel Bar,Plaza,Italian Restaurant,Clothing Store,Café
Hotel Atmospheres,48.8486946434805,2.348144944017849,3,French Restaurant,Italian Restaurant,Bakery,Coffee Shop,Tapas Restaurant,Portuguese Restaurant,Seafood Restaurant,Ethiopian Restaurant,Flower Shop,Market
Hôtel Jules & Jim,48.8634958202105,2.357394871680617,3,French Restaurant,Chinese Restaurant,Café,Art Gallery,Wine Bar,Vietnamese Restaurant,Vegetarian / Vegan Restaurant,Japanese Restaurant,Restaurant,Museum
Renaissance Paris Arc de Triomphe Hotel,48.877089810406424,2.297060550926176,2,French Restaurant,Italian Restaurant,Pizza Place,Bistro,Bar,Asian Restaurant,Clothing Store,Seafood Restaurant,Japanese Restaurant,Bakery
Hôtel Pullman Paris Tour Eiffel,48.85566995125469,2.2928691496532565,2,French Restaurant,Café,Creperie,Athletics & Sports,Bus Stop,Sandwich Place,Brasserie,Bistro,Library,Furniture / Home Store
Hôtel Providence,48.8692825461256,2.3568509393162795,2,French Restaurant,Bar,Theater,Restaurant,Cocktail Bar,Burger Joint,Indie Movie Theater,Coffee Shop,Pizza Place,Chinese Restaurant
The Hoxton Paris,48.8701794,2.3466316000000003,3,Bar,Cocktail Bar,Wine Bar,French Restaurant,Italian Restaurant,Chinese Restaurant,Theater,Salad Place,Gym / Fitness Center,Indian Restaurant
Hôtel Paris Marriott Champs-Élysées,48.87121341121234,2.305065028801323,3,French Restaurant,Cosmetics Shop,Café,Department Store,Clothing Store,Fast Food Restaurant,Seafood Restaurant,Burger Joint,Spa,Multiplex
Novotel Paris Les Halles,48.8607769,2.3463217,3,French Restaurant,Pizza Place,Bar,Italian Restaurant,Café,Clothing Store,Bakery,Tea Room,Cosmetics Shop,Furniture / Home Store
Renaissance Paris Republique Hotel,48.86850141509405,2.3609098639826698,5,Plaza,Art Gallery,Supermarket,Furniture / Home Store,French Restaurant,Cocktail Bar,Seafood Restaurant,Comedy Club,Argentinian Restaurant,Italian Restaurant
Le 123 Sébastopol,48.86758494974488,2.3533225471432093,3,Bar,Cocktail Bar,Burger Joint,Historic Site,Theater,Restaurant,Brasserie,French Restaurant,Food & Drink Shop,Bookstore
New Hotel Roblin,48.87139823976243,2.3240496796935397,3,French Restaurant,Gourmet Shop,Theater,Salad Place,Restaurant,Sandwich Place,Creperie,Clothing Store,Dessert Shop,Resort
Hôtel Ritz,48.86814475882232,2.3289620876312256,1,French Restaurant,Jewelry Store,Chocolate Shop,Boutique,Shoe Store,Cocktail Bar,Hotel Bar,Sandwich Place,Plaza,Men's Store
Hôtel Jeanne d'Arc,48.85554724672368,2.363238815543683,3,French Restaurant,Bakery,Clothing Store,Cosmetics Shop,Italian Restaurant,Plaza,Coffee Shop,Tapas Restaurant,Tea Room,Bistro
Hôtel Verneuil,48.85737053118471,2.3314350843429565,2,French Restaurant,Café,Italian Restaurant,Clothing Store,Cheese Shop,Restaurant,Bookstore,Bar,Bakery,Boutique
Hôtel Lutetia,48.85109441256857,2.3269953020557432,1,French Restaurant,Chocolate Shop,Gourmet Shop,Market,Furniture / Home Store,Coffee Shop,Department Store,Shoe Store,Garden,Art Gallery
Le General Hotel,48.86621924841221,2.3669549963358505,3,French Restaurant,Wine Bar,Bakery,Pizza Place,Theater,Café,Korean Restaurant,Chinese Restaurant,Bar,Restaurant
Fraser Suites Le Claridge Champs-Élysées,48.87139950737721,2.304852878914009,3,French Restaurant,Cosmetics Shop,Café,Department Store,Clothing Store,Fast Food Restaurant,Seafood Restaurant,Burger Joint,Spa,Multiplex
Hôtel Mandarin Oriental,48.86698662076993,2.3271784186363216,1,French Restaurant,Boutique,Jewelry Store,Hotel Bar,Men's Store,Chocolate Shop,Tea Room,Clothing Store,Bookstore,Pastry Shop
Hôtel de Crillon,48.86732962650694,2.321140766143799,1,Boutique,Women's Store,French Restaurant,Men's Store,Fountain,Lounge,Tea Room,Accessories Store,Clothing Store,Shoe Store
Hilton,48.87557147635434,2.325579121816145,3,Cosmetics Shop,Department Store,French Restaurant,Sandwich Place,Bistro,Boutique,Restaurant,Theater,Kebab Restaurant,Mediterranean Restaurant
Hôtel Dupond-Smith,48.857937000135394,2.3571832642453723,3,French Restaurant,Clothing Store,Italian Restaurant,Bakery,Gourmet Shop,Pastry Shop,Ice Cream Shop,Optical Shop,Gay Bar,Men's Store
Hôtel Brighton,48.8648510295664,2.329005330704668,1,French Restaurant,Japanese Restaurant,Chocolate Shop,Hotel Bar,Café,Dessert Shop,Jewelry Store,Clothing Store,Garden,Boutique
Hôtel Madison,48.8534964469689,2.3344661134406537,5,Italian Restaurant,French Restaurant,Pastry Shop,Clothing Store,Café,Japanese Restaurant,Plaza,Cocktail Bar,Seafood Restaurant,Ice Cream Shop
Petit Belloy St Germain by HappyCulture,48.850194,2.34227,3,Indie Movie Theater,French Restaurant,Bar,Bookstore,Bistro,Comic Shop,Pizza Place,Gourmet Shop,Coffee Shop,Seafood Restaurant
Hôtel citizenM Paris Gare de Lyon,48.84383973736041,2.3714794382463573,3,Sandwich Place,French Restaurant,Coffee Shop,Bakery,Hotel Bar,Train Station,Convenience Store,Fast Food Restaurant,Mac & Cheese Joint,Lounge
Citadines Saint-Germain-des-Prés Paris,48.85517110605024,2.3409717741939065,2,French Restaurant,Plaza,Japanese Restaurant,Asian Restaurant,Museum,Restaurant,Bar,Café,Bookstore,Bistro
Hôtel Scribe,48.870537148418215,2.329675555229187,4,Chocolate Shop,French Restaurant,Sandwich Place,Coffee Shop,Pub,Men's Store,Candy Store,Opera House,Gourmet Shop,Theater
Hôtel Louison (Ex-Aviatic Saint-Germain),48.84532133000978,2.3213446140289307,2,French Restaurant,Bistro,Japanese Restaurant,Vietnamese Restaurant,Italian Restaurant,Bar,Creperie,Comedy Club,Café,Sandwich Place
Hôtel Catalogne Paris Gare Montparnasse,48.837658114450505,2.318503011776824,2,French Restaurant,Seafood Restaurant,Japanese Restaurant,Plaza,Garden,Burger Joint,Gourmet Shop,Thai Restaurant,Café,Spanish Restaurant
Hôtel Seven,48.83898340621503,2.345773256807965,5,Italian Restaurant,French Restaurant,Café,Restaurant,Sushi Restaurant,Tea Room,Thai Restaurant,Sandwich Place,Cheese Shop,Dessert Shop
Hôtel Le Littré,48.845458,2.3241389999999997,2,French Restaurant,Bistro,Cosmetics Shop,Sandwich Place,Japanese Restaurant,Ice Cream Shop,Clothing Store,Café,Multiplex,Restaurant
Hôtel Napoléon,48.87432662879858,2.2981274127960205,2,French Restaurant,Italian Restaurant,Jewelry Store,Movie Theater,Men's Store,Japanese Restaurant,Asian Restaurant,Clothing Store,Electronics Store,Brasserie
Hôtel Regina,48.863792821796615,2.3325414955615997,3,Japanese Restaurant,Coffee Shop,Italian Restaurant,Plaza,Café,Cosmetics Shop,Furniture / Home Store,Chocolate Shop,Gift Shop,Tea Room
Holiday Inn Paris - Notre Dame,48.8527923,2.3423043,3,French Restaurant,Bookstore,Bistro,Coffee Shop,Bar,Asian Restaurant,Burger Joint,Creperie,Plaza,Chocolate Shop
Hotel Duo Paris,48.85806463051729,2.3529366996409515,3,French Restaurant,Plaza,Pastry Shop,Art Gallery,Clothing Store,Restaurant,Cocktail Bar,Frozen Yogurt Shop,Furniture / Home Store,Gay Bar
Starhotels Castille Paris,48.86847645388553,2.326880693435669,1,French Restaurant,Boutique,Jewelry Store,Dessert Shop,Gourmet Shop,Men's Store,Accessories Store,Hotel Bar,Women's Store,Cocktail Bar
Hôtel Edouard 7,48.86835743263864,2.3330182044620926,3,Japanese Restaurant,Jewelry Store,French Restaurant,Bakery,Italian Restaurant,Plaza,Sandwich Place,Chocolate Shop,Cocktail Bar,Coffee Shop
Hotel L'Echiquier MGallery,48.87186792213142,2.3492603440311086,2,French Restaurant,Bar,Corsican Restaurant,Comedy Club,Café,Restaurant,Gym / Fitness Center,Doner Restaurant,Hotel Bar,Wine Bar
Hôtel Monte Cristo,48.838203,2.3493986000000002,2,French Restaurant,Café,Italian Restaurant,Tea Room,Bakery,Dessert Shop,Sushi Restaurant,Greek Restaurant,Food & Drink Shop,Cheese Shop
Hôtel Banke,48.87367001228107,2.3361276090145107,3,French Restaurant,Salad Place,Bistro,Sandwich Place,Coffee Shop,Clothing Store,Modern European Restaurant,Food & Drink Shop,Brasserie,Burger Joint
Hôtel Sofitel Paris Le Faubourg,48.8684102986381,2.321348411079157,1,Boutique,French Restaurant,Women's Store,Men's Store,Clothing Store,Tea Room,Shoe Store,Dessert Shop,Cocktail Bar,Salad Place
Hôtel Crayon,48.863963951141535,2.3415177515883987,2,French Restaurant,Bakery,Restaurant,Clothing Store,Italian Restaurant,Bistro,Shoe Store,South American Restaurant,Boutique,Spa
The Westin Paris – Vendôme,48.8654924,2.3271121,1,French Restaurant,Café,Boutique,Hotel Bar,Dessert Shop,Chocolate Shop,Bookstore,Clothing Store,Garden,Jewelry Store
Hôtel Particulier Montmartre,48.88789684317782,2.3352523263968803,2,French Restaurant,Italian Restaurant,Bakery,Plaza,Comedy Club,Bistro,Chocolate Shop,Hotel Bar,Wine Bar,Outdoor Sculpture
Hôtel Joke ***,48.882425161627594,2.331888844848106,5,Italian Restaurant,Comedy Club,Basketball Court,Wine Bar,Vietnamese Restaurant,Hotel Bar,Bar,Gastropub,Comfort Food Restaurant,Beer Bar
Villa Modigliani,48.8412353619644,2.3281587118908216,3,Creperie,French Restaurant,Auvergne Restaurant,Cocktail Bar,Noodle House,Seafood Restaurant,Lyonese Bouchon,Belgian Restaurant,Steakhouse,Korean Restaurant
7 Eiffel Hotel****,48.85837445588496,2.3077558498765893,2,French Restaurant,Italian Restaurant,Cocktail Bar,Coffee Shop,Bar,Bakery,Café,Irish Pub,Cheese Shop,Dessert Shop
Hôtel de l'Academie,48.85519392555572,2.3306992180219437,5,French Restaurant,Italian Restaurant,Café,Plaza,Boutique,Clothing Store,Japanese Restaurant,Shoe Store,Korean Restaurant,Restaurant
Terrass'' Hotel,48.88653196746295,2.333158988482017,2,French Restaurant,Italian Restaurant,Bakery,Hotel Bar,Wine Bar,Bar,Comedy Club,Chinese Restaurant,Pub,Tapas Restaurant
Hôtel Paris Bastille Boutet MGallery by Sofitel,48.851915000000005,2.384029,2,Bar,French Restaurant,Noodle House,Beer Store,Garden,Cajun / Creole Restaurant,Korean Restaurant,Chocolate Shop,Cocktail Bar,Coffee Shop
Melia Vendôme Hôtel,48.866826731851575,2.32583242556253,1,French Restaurant,Boutique,Dessert Shop,Clothing Store,Hotel Bar,Accessories Store,Bookstore,Chocolate Shop,Men's Store,Jewelry Store
Hôtel Amour,48.87963106634556,2.3394146561622615,0,French Restaurant,Bakery,Cheese Shop,Café,Cocktail Bar,Coffee Shop,Plaza,Falafel Restaurant,Farmers Market,Exhibit
Hôtel Maison Souquet,48.883596085962154,2.331518149130297,5,Italian Restaurant,Bar,Comfort Food Restaurant,Gastropub,Chinese Restaurant,Bistro,Dessert Shop,Kebab Restaurant,Beer Bar,Comedy Club
Millesime Hôtel,48.855104120168505,2.3351039415725143,3,French Restaurant,Café,Plaza,Italian Restaurant,Cosmetics Shop,Bookstore,Ice Cream Shop,Boutique,Seafood Restaurant,Sandwich Place
Hôtel Square Louvois,48.86838850804118,2.336714828720246,3,Japanese Restaurant,French Restaurant,Wine Bar,Italian Restaurant,Bakery,Korean Restaurant,Udon Restaurant,Bookstore,Pastry Shop,Coffee Shop
Hotel De Lille,48.85856172,2.3299138,2,French Restaurant,Café,Art Museum,Arts & Crafts Store,Bookstore,Boutique,Exhibit,Historic Site,Gastropub,Cheese Shop
K+K Hotel Cayré Paris,48.85540812279483,2.325459122657776,3,French Restaurant,Bakery,Seafood Restaurant,Bistro,Chocolate Shop,Art Museum,Bookstore,Brasserie,Pedestrian Plaza,Men's Store
Hotel Relais Bosquet,48.85620580167193,2.3052245378494263,2,French Restaurant,Italian Restaurant,Café,Coffee Shop,Japanese Restaurant,Ice Cream Shop,Pizza Place,Burger Joint,Cheese Shop,Cocktail Bar
Hôtel Jules,48.875226,2.341486,2,French Restaurant,Japanese Restaurant,Bar,Wine Bar,Bistro,Burger Joint,Bakery,Cocktail Bar,Cheese Shop,Pizza Place
Villa Madame,48.84879017611036,2.3316177300217173,3,French Restaurant,Bakery,Café,Fountain,Art Gallery,Bagel Shop,New American Restaurant,Pizza Place,Convenience Store,Juice Bar
Hôtel Odyssey,48.865080155791944,2.3417756464352446,3,French Restaurant,Italian Restaurant,Restaurant,Wine Bar,Historic Site,Bistro,Clothing Store,Coffee Shop,Salad Place,Lebanese Restaurant
Sofitel Paris Arc de Triomphe,48.875042140656795,2.3012929247136067,2,French Restaurant,Salad Place,Italian Restaurant,Asian Restaurant,Bakery,Chinese Restaurant,Chocolate Shop,Middle Eastern Restaurant,Bed & Breakfast,Restaurant
Hôtel Du Louvre - In the Unbound Collection by Hyatt,48.862983012021104,2.3356674440641334,3,Café,Plaza,Cosmetics Shop,Coffee Shop,Italian Restaurant,Tea Room,Garden,Furniture / Home Store,French Restaurant,Japanese Restaurant
Hôtel Élysées 8,48.87305291555533,2.3180803656578064,2,French Restaurant,Bakery,Hotel Bar,Theater,Salad Place,Modern European Restaurant,Corsican Restaurant,Spa,Bar,Thai Restaurant
Champs Elysées Friedland,48.875085,2.304837,2,French Restaurant,Salad Place,Café,Asian Restaurant,Pub,Gym / Fitness Center,Bed & Breakfast,Middle Eastern Restaurant,Brasserie,Cocktail Bar
Hôtel Château Frontenac,48.869121172484036,2.302661616895981,5,French Restaurant,Italian Restaurant,Café,Steakhouse,Clothing Store,Pastry Shop,Hotel Bar,Cosmetics Shop,Boutique,Japanese Restaurant
Courtyard by Marriott Paris Gare de Lyon,48.8450980647,2.3713477553098983,3,French Restaurant,Sandwich Place,Bakery,Coffee Shop,Train Station,Platform,Design Studio,Burger Joint,Mac & Cheese Joint,Lounge
Hôtel Quartier Latin,48.847689428222026,2.3518526659901298,2,French Restaurant,Italian Restaurant,Wine Bar,Bar,Bakery,Historic Site,Bistro,Japanese Restaurant,Café,Argentinian Restaurant
Hotel Athenee Paris,48.87141646152775,2.328067200837637,4,Chocolate Shop,Gourmet Shop,French Restaurant,Clothing Store,Furniture / Home Store,Lounge,Wine Shop,Opera House,Sandwich Place,Dessert Shop
Hôtel Villa Saxe Eiffel,48.84970037694761,2.3096193990328704,2,Bistro,French Restaurant,Deli / Bodega,Bar,Rental Car Location,Asian Restaurant,Pastry Shop,Plaza,Farmers Market,Wine Bar
Hôtel du Midi Paris Montparnasse,48.83300685720683,2.3325642943382263,3,French Restaurant,Plaza,Bakery,Bistro,Supermarket,Ice Cream Shop,Café,Cajun / Creole Restaurant,Lebanese Restaurant,Sushi Restaurant
Hôtel R. Kipling,48.88213343301544,2.3317835952724755,5,Italian Restaurant,French Restaurant,Basketball Court,Wine Bar,Vietnamese Restaurant,Hotel Bar,Bar,Gastropub,Comfort Food Restaurant,Comedy Club
Cordelia Hotel,48.8731964175141,2.325378053674337,3,French Restaurant,Salad Place,Department Store,Boutique,Gourmet Shop,Theater,Coffee Shop,Clothing Store,Restaurant,Lounge
Hôtel du College de France,48.84976608494684,2.346085490053706,3,Coffee Shop,Indie Movie Theater,Comic Shop,Italian Restaurant,Bookstore,Bakery,Plaza,French Restaurant,Burger Joint,Bar
Hôtel San Régis,48.86668026835115,2.3084497340290806,1,Boutique,French Restaurant,Clothing Store,Plaza,Tailor Shop,Theater,Shoe Store,Men's Store,Event Space,Brasserie
Hôtel Raphaël,48.87128583865526,2.2940196996036493,0,French Restaurant,Bakery,Vegetarian / Vegan Restaurant,Roof Deck,Movie Theater,Plaza,Molecular Gastronomy Restaurant,Steakhouse,Exhibit,Falafel Restaurant
Hôtel de Turenne,48.8541165287675,2.307415271118266,2,French Restaurant,Coffee Shop,Italian Restaurant,Japanese Restaurant,Dessert Shop,Café,Plaza,Basque Restaurant,Korean Restaurant,Gourmet Shop
Le Pigalle,48.88165331623583,2.337338109899437,2,French Restaurant,Coffee Shop,Music Venue,Italian Restaurant,Bar,Cocktail Bar,Karaoke Bar,Taco Place,Speakeasy,Ramen Restaurant
