Hotel,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Petit Belloy St Germain by HappyCulture,Indie Movie Theater,French Restaurant,Bar,Bookstore,Bistro,Comic Shop,Pizza Place,Gourmet Shop,Coffee Shop,Seafood Restaurant
Renaissance Paris Arc de Triomphe Hotel,French Restaurant,Italian Restaurant,Pizza Place,Bistro,Bar,Asian Restaurant,Clothing Store,Seafood Restaurant,Japanese Restaurant,Bakery
Renaissance Paris Republique Hotel,Plaza,Art Gallery,Supermarket,Furniture / Home Store,French Restaurant,Cocktail Bar,Seafood Restaurant,Comedy Club,Argentinian Restaurant,Italian Restaurant
Shangri-La Hotel Paris,French Restaurant,Art Museum,Hookah Bar,Chinese Restaurant,Market,Bookstore,Arts & Entertainment,Bar,Hotel Bar,Plaza
Sofitel Paris Arc de Triomphe,French Restaurant,Salad Place,Italian Restaurant,Asian Restaurant,Bakery,Chinese Restaurant,Chocolate Shop,Middle Eastern Restaurant,Bed & Breakfast,Restaurant
Starhotels Castille Paris,French Restaurant,Boutique,Jewelry Store,Dessert Shop,Gourmet Shop,Men's Store,Accessories Store,Hotel Bar,Women's Store,Cocktail Bar
Terrass'' Hotel,French Restaurant,Italian Restaurant,Bakery,Hotel Bar,Wine Bar,Bar,Comedy Club,Chinese Restaurant,Pub,Tapas Restaurant
The Hoxton Paris,Bar,Cocktail Bar,Wine Bar,French Restaurant,Italian Restaurant,Chinese Restaurant,Theater,Salad Place,Gym / Fitness Center,Indian Restaurant
The Peninsula Paris,French Restaurant,Steakhouse,Vegetarian / Vegan Restaurant,Roof Deck,Bakery,Molecular Gastronomy Restaurant,Farmers Market,Fast Food Restaurant,Falafel Restaurant,Electronics Store
The Westin Paris – Vendôme,French Restaurant,Café,Boutique,Hotel Bar,Dessert Shop,Chocolate Shop,Bookstore,Clothing Store,Garden,Jewelry Store
Villa Madame,French Restaurant,Bakery,Café,Fountain,Art Gallery,Bagel Shop,New American Restaurant,Pizza Place,Convenience Store,Juice Bar
Villa Modigliani,Creperie,French Restaurant,Auvergne Restaurant,Cocktail Bar,Noodle House,Seafood Restaurant,Lyonese Bouchon,Belgian Restaurant,Steakhouse,Korean Restaurant
W Paris – Opéra,Coffee Shop,Jewelry Store,French Restaurant,Salad Place,Clothing Store,Chocolate Shop,Sandwich Place,Women's Store,Plaza,Cosmetics Shop
